UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12 
110486,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110495,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110501,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
110510,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110529,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110538,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110547,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110556,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110565,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110574,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110583,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110592,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110608,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110617,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110635,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110644,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110653,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110662,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110671,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110680,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110699,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110705,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110714,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110778,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110875,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110918,-9,-2,-2,-9,-2,-2,-2,.,-2,-9,-2,-2,-2,.,-2
111045,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111054,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111081,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111188,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111391,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111434,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111461,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111513,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111638,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111708,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111717,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111726,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111744,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111762,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111799,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111887,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111896,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111920,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111939,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111948,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
111966,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112075,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112084,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112127,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112172,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112181,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112190,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112251,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112260,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112288,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112367,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112376,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
112385,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112394,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112455,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112525,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112561,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112570,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112686,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
112817,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
112826,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113096,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113111,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113193,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113218,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113236,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113333,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113449,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113537,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113573,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113582,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113616,5,0,-2,5,0,-2,-2,.,-2,5,0,-2,-2,.,-2
113634,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113698,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113704,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113856,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
113980,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114114,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114123,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114266,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114354,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114433,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114460,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114549,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114585,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114637,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114716,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114734,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114761,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114789,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114813,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
114831,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
